Identif Item Compra;Cod UResp Compra;UF UResp Compra;Esfera UResp Compra;;Desc Compl Item Compra;Modalidade Compra;Inciso Disp Legal;Justif Dispensa/Inexig;Forma Realização;CPF/CNPJ Fornecedor;Nome Fornecedor;Porte Empresa Fornec;Fabric Material Compra;Ano Resultado Compra;Dia Resultado Compra;Mês Final Vigen Ata SRP;Unidade Fornecimento;Qtde Comprada Item;Valor Unitário Homologado;Valor Total Homologado
2500050500001201700001;250005;DF;Federal; LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO, MATERIAL:LÁTEX NATURAL ÍNTEGRO E UNIFORME, TAMANHO:MÉDIO, CARACTERÍSTICAS ADICIONAIS:LUBRIFICADA COM PÓ BIOABSORVÍVEL, DESCARTÁVEL, APRESENTAÇÃO:ATÓXICA, TIPO:AMBIDESTRA, TIPO USO:DESCARTÁVEL, MODELO:FORMATO ANATÔMICO, FINALIDADE:RESISTENTE À TRAÇÃO;LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO, MATERIAL LÁTEX NATURAL ÍNTEGRO E UNIFORME, TAMANHO MÉDIO, CARACTERÍSTICAS ADICIONAIS LUBRIFICADA COM PÓ BIOABSORVÍVEL, DESCARTÁVEL, APRESENTAÇÃO ATÓXICA, TIPO AMBIDESTRA, TIPO USO DESCARTÁVEL, MODELO FORMATO ANATÔMICO, FINALIDADE RESISTENTE À TRAÇÃO;Pregão;NAO SE APLICA;Não Informado;Eletrônico;33498171000141;SAUDE COMERCIO DE PRODUTOS HOSPITALARES LTDA;Pequena Empresa;DESCARPACK;2017;02 Fev 2017;Fev 2018;UNIDADE;120.000 ;0,1500;18.000,0000
2500050500001201700002;250005;DF;Federal; LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO, MATERIAL:LÁTEX NATURAL ÍNTEGRO E UNIFORME, TAMANHO:PEQUENO, CARACTERÍSTICAS ADICIONAIS:LUBRIFICADA COM PÓ BIOABSORVÍVEL, DESCARTÁVEL, APRESENTAÇÃO:ATÓXICA, TIPO:AMBIDESTRA, TIPO USO:DESCARTÁVEL, MODELO:FORMATO ANATÔMICO, FINALIDADE:RESISTENTE À TRAÇÃO;LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO, MATERIAL LÁTEX NATURAL ÍNTEGRO E UNIFORME, TAMANHO PEQUENO, CARACTERÍSTICAS ADICIONAIS LUBRIFICADA COM PÓ BIOABSORVÍVEL, DESCARTÁVEL, APRESENTAÇÃO ATÓXICA, TIPO AMBIDESTRA, TIPO USO DESCARTÁVEL, MODELO FORMATO ANATÔMICO, FINALIDADE RESISTENTE À TRAÇÃO;Pregão;NAO SE APLICA;Não Informado;Eletrônico;33498171000141;SAUDE COMERCIO DE PRODUTOS HOSPITALARES LTDA;Pequena Empresa;DESCARPACK;2017;02 Fev 2017;Fev 2018;UNIDADE;160.000 ;0,1500;24.000,0000
2500050500001201800001;250005;DF;Federal; BUPROPIONA CLORIDRATO, DOSAGEM:150 MG;BUPROPIONA CLORIDRATO, DOSAGEM 150 MG;Pregão;NAO SE APLICA;Não Informado;Eletrônico;60665981000975;UNIAO QUIMICA FARMACEUTICA NACIONAL S A;Outros;UNIÃO QUÍMICA;2018;16 Fev 2018;Mar 2019;COMPRIMIDO;12.794.760 ;0,1766;2.259.554,6160
2500050500001201800002;250005;DF;Federal; BUPROPIONA CLORIDRATO, DOSAGEM:150 MG;BUPROPIONA CLORIDRATO, DOSAGEM 150 MG;Pregão;NAO SE APLICA;Não Informado;Eletrônico;22218845000190;NUTRIMINAS COMERCIO DE NUTRICOES DIETETICAS E MATERIAIS HOSPITALARES LTDA;Micro Empresa;UNIÃO QUÍMICA;2018;16 Fev 2018;Mar 2019;COMPRIMIDO;4.264.920 ;0,2030;865.778,7600
2500050500001201900001;250005;DF;Federal; REAGENTE PARA DIAGNÓSTICO CLÍNICO 6, TIPO:CONJUNTO COMPLETO, TIPO DE ANÁLISE:QUALITATIVO DE ANTICORPOS ANTI-TREPONEMA PALLIDUM, MÉTODO:IMUNOCROMATOGRAFIA, APRESENTAÇÃO:TESTE;REAGENTE PARA DIAGNÓSTICO CLÍNICO 6, TIPO CONJUNTO COMPLETO, TIPO DE ANÁLISE QUALITATIVO DE ANTICORPOS ANTI-TREPONEMA PALLIDUM, MÉTODO IMUNOCROMATOGRAFIA, APRESENTAÇÃO TESTE;Pregão;NAO SE APLICA;Não Informado;Eletrônico;19400787000107;QUIBASA QUIMICA BASICA LTDA;Outros;QUIBASA QUÍMICA BÁSICA LTDA;2019;19 Fev 2019;Mar 2020;TESTE;15.020.000 ;1,1450;17.197.900,0000
2500050500001202100001;250005;DF;Federal; LEVOFLOXACINO, DOSAGEM:250 MG;LEVOFLOXACINO, DOSAGEM 250 MG;Pregão;NAO SE APLICA;Não Informado;Eletrônico;07847837000110;CIENTIFICA MEDICA HOSPITALAR LTDA;Outros;APSEN FARMACEUTICA S/A;2021;05 Fev 2021;Fev 2022;COMPRIMIDO;313.000 ;4,5700;1.430.410,0000
2500050500001202100002;250005;DF;Federal; LEVOFLOXACINO, DOSAGEM:500 MG;LEVOFLOXACINO, DOSAGEM 500 MG;Pregão;NAO SE APLICA;Não Informado;Eletrônico;21297758000103;PRO SAUDE DISTRIBUIDORA DE MEDICAMENTOS LTDA;Outros;CIMED;2021;05 Fev 2021;Fev 2022;COMPRIMIDO;1.242.500 ;0,5370;667.222,5000
2500050500002201700001;250005;DF;Federal; PREDNISONA, DOSAGEM:5 MG;PREDNISONA, DOSAGEM 5 MG;Pregão;NAO SE APLICA;Não Informado;Eletrônico;14459413000143;MW DISTRIBUIDORA DE MEDICAMENTOS EIRELI;Outros;VITAMEDIC;2017;27 Jan 2017;Jan 1900;COMPRIMIDO;4.803.000 ;0,0900;432.270,0000
2500050500002201800001;250005;DF;Federal; MEDROXIPROGESTERONA ACETATO, CONCENTRAÇÃO:150 MG/ML, FORMA FARMACEUTICA:SUSPENSÃO INJETÁVEL;MEDROXIPROGESTERONA ACETATO, CONCENTRAÇÃO 150 MG/ML, FORMA FARMACEUTICA SUSPENSÃO INJETÁVEL;Pregão;NAO SE APLICA;Não Informado;Eletrônico;60665981000975;UNIAO QUIMICA FARMACEUTICA NACIONAL S A;Outros;UNIÃO QUIMICA;2018;01 Fev 2018;Mar 2019;FRASCO-AMPOLA;3.403.038 ;3,2800;11.161.964,6400
2500050500002201800002;250005;DF;Federal; MEDROXIPROGESTERONA ACETATO, CONCENTRAÇÃO:150 MG/ML, FORMA FARMACEUTICA:SUSPENSÃO INJETÁVEL;MEDROXIPROGESTERONA ACETATO, CONCENTRAÇÃO 150 MG/ML, FORMA FARMACEUTICA SUSPENSÃO INJETÁVEL;Pregão;NAO SE APLICA;Não Informado;Eletrônico;60665981000975;UNIAO QUIMICA FARMACEUTICA NACIONAL S A;Outros;;2018;01 Fev 2018;Mar 2019;FRASCO-AMPOLA;1.134.345 ;3,2800;3.720.651,6000
2500050500002202000001;250005;DF;Federal; DONEPEZILA, DOSAGEM:5 MG;DONEPEZILA, DOSAGEM 5 MG;Pregão;NAO SE APLICA;Não Informado;Eletrônico;44734671000151;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;Outros;CRISTÁLIA PRODUTOS QUÍMICOS;2020;27 Jan 2020;Fev 2021;COMPRIMIDO;9.225.769 ;0,1300;1.199.349,9700
2500050500002202000002;250005;DF;Federal; DONEPEZILA, DOSAGEM:10 MG;DONEPEZILA, DOSAGEM 10 MG;Pregão;NAO SE APLICA;Não Informado;Eletrônico;26921908000202;HOSPFAR INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES S.A.;Outros;ACHE;2020;27 Jan 2020;Fev 2021;COMPRIMIDO;6.483.640 ;0,2260;1.465.302,6400
2500050500002202100003;250005;DF;Federal; CIPROFLOXACINO CLORIDRATO, DOSAGEM:500 MG;CIPROFLOXACINO CLORIDRATO, DOSAGEM 500 MG;Pregão;NAO SE APLICA;Não Informado;Eletrônico;73856593000166;PRATI, DONADUZZI & CIA LTDA;Outros;PRATI DONADUZZI;2021;11 Fev 2021;Mar 2022;COMPRIMIDO;1.400.000 ;0,1900;266.000,0000
2500050500002202100004;250005;DF;Federal; CLARITROMICINA, DOSAGEM:50 MG/ML, APRESENTAÇÃO:GRANULADO PARA SUSPENSÃO ORAL;CLARITROMICINA, DOSAGEM 50 MG/ML, APRESENTAÇÃO GRANULADO PARA SUSPENSÃO ORAL;Pregão;NAO SE APLICA;Não Informado;Eletrônico;92265552000816;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;Outros;EMS;2021;11 Fev 2021;Fev 2022;FRASCO 60,00 ML;26.000 ;29,9500;778.700,0000
2500050500002202100006;250005;DF;Federal; CLORETO DE SÓDIO, CONCENTRAÇAO:0,9 %, FORMA FARMACEUTICA:SPRAY NASAL;CLORETO DE SÓDIO, CONCENTRAÇAO 0,9 %, FORMA FARMACEUTICA SPRAY NASAL;Pregão;NAO SE APLICA;Não Informado;Eletrônico;34999637000155;WL PHARMA COMERCIO DE MATERIAIS MEDICOS HOSPITALARES LTDA;Outros;AIRELA;2021;11 Fev 2021;Mar 2022;FRASCO 30,00 ML;142.000 ;0,8400;119.280,0000
2500050500002202100007;250005;DF;Federal; CLORETO DE SÓDIO, PRINCÍPIO ATIVO:0,9%_ SOLUÇÃO INJETÁVEL, APLICAÇÃO:SISTEMA FECHADO;CLORETO DE SÓDIO, PRINCÍPIO ATIVO 0,9%_ SOLUÇÃO INJETÁVEL, APLICAÇÃO SISTEMA FECHADO;Pregão;NAO SE APLICA;Não Informado;Eletrônico;01571702000198;HALEX ISTAR INDUSTRIA FARMACEUTICA SA;Outros;HALEXISTAR;2021;11 Fev 2021;Mar 2022;BOLSA 100,00 ML;100.000 ;1,7800;178.000,0000
2500050500002202100008;250005;DF;Federal; CLORETO DE SÓDIO, PRINCÍPIO ATIVO:0,9%_ SOLUÇÃO INJETÁVEL, APLICAÇÃO:SISTEMA FECHADO;CLORETO DE SÓDIO, PRINCÍPIO ATIVO 0,9%_ SOLUÇÃO INJETÁVEL, APLICAÇÃO SISTEMA FECHADO;Pregão;NAO SE APLICA;Não Informado;Eletrônico;94516671000153;CIRURGICA SANTA CRUZ COM. DE PRODUTOS HOSPITALARES LTDA.;Outros;FARMARIN;2021;11 Fev 2021;Mar 2022;BOLSA 100,00 ML;110.000 ;2,3500;258.500,0000
2500050500003201700001;250005;DF;Federal; REAGENTE PARA DIAGNÓSTICO CLÍNICO 7, TIPO:CONJUNTO COMPLETO, TIPO DE ANÁLISE:QUALITATIVO DE ANTI-HCV, MÉTODO:IMUNOCROMATOGRAFIA, APRESENTAÇÃO:TESTE;REAGENTE PARA DIAGNÓSTICO CLÍNICO 7, TIPO CONJUNTO COMPLETO, TIPO DE ANÁLISE QUALITATIVO DE ANTI-HCV, MÉTODO IMUNOCROMATOGRAFIA, APRESENTAÇÃO TESTE;Pregão;NAO SE APLICA;Não Informado;Eletrônico;50248780000919;ABBOTT DIAGNOSTICOS RAPIDOS S.A.;Outros;STANDARD DIAGNÓSTICS;2017;02 Mar 2017;Mar 2018;TESTE;11.084.825 ;1,6300;18.068.264,7500
2500050500003201700002;250005;DF;Federal; REAGENTE PARA DIAGNÓSTICO CLÍNICO 6, TIPO:CONJUNTO COMPLETO, TIPO DE ANÁLISE:QUALITATIVO DE HIV I E II, MÉTODO:IMUNOCROMATOGRAFIA, APRESENTAÇÃO:TESTE;REAGENTE PARA DIAGNÓSTICO CLÍNICO 6, TIPO CONJUNTO COMPLETO, TIPO DE ANÁLISE QUALITATIVO DE HIV I E II, MÉTODO IMUNOCROMATOGRAFIA, APRESENTAÇÃO TESTE;Pregão;NAO SE APLICA;Não Informado;Eletrônico;19400787000107;QUIBASA QUIMICA BASICA LTDA;Outros;QUIBASA;2017;02 Mar 2017;Fev 2018;TESTE;13.550.100 ;1,5500;21.002.655,0000
2500050500003201800001;250005;DF;Federal; LEVONORGESTREL, APRESENTAÇÃO:ASSOCIADO À ETINILESTRADIOL, DOSAGEM:0,15MG + 0,03MG, INDICAÇÃO:BLISTER CALENDÁRIO COM 21 COMPRIMIDOS;LEVONORGESTREL, APRESENTAÇÃO ASSOCIADO À ETINILESTRADIOL, DOSAGEM 0,15MG + 0,03MG, INDICAÇÃO BLISTER CALENDÁRIO COM 21 COMPRIMIDOS;Pregão;NAO SE APLICA;Não Informado;Eletrônico;60665981000975;UNIAO QUIMICA FARMACEUTICA NACIONAL S A;Outros;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A;2018;01 Fev 2018;Fev 2019;BLISTER;12.697.880 ;0,3000;3.809.364,0000
2500050500003201800002;250005;DF;Federal; LEVONORGESTREL, APRESENTAÇÃO:ASSOCIADO À ETINILESTRADIOL, DOSAGEM:0,15MG + 0,03MG, INDICAÇÃO:BLISTER CALENDÁRIO COM 21 COMPRIMIDOS;LEVONORGESTREL, APRESENTAÇÃO ASSOCIADO À ETINILESTRADIOL, DOSAGEM 0,15MG + 0,03MG, INDICAÇÃO BLISTER CALENDÁRIO COM 21 COMPRIMIDOS;Pregão;NAO SE APLICA;Não Informado;Eletrônico;22218845000190;NUTRIMINAS COMERCIO DE NUTRICOES DIETETICAS E MATERIAIS HOSPITALARES LTDA;Micro Empresa;UNIÃO QUÍMICA;2018;01 Fev 2018;Fev 2019;BLISTER;4.232.626 ;0,3756;1.589.774,3256
